City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Coquimbo,75,CL,1545692400,82,-29.95,-71.34,60.8,8.05
Celestun,8,MX,1545694731,93,20.87,-90.4,74.77,22.03
Nome,90,US,1545693300,72,30.04,-94.42,60.24,5.82
Saskylakh,76,RU,1545694734,77,71.97,114.09,-0.47,14.76
Ulundi,92,ZA,1545694734,97,-28.29,31.43,68.83,3.13
Carnarvon,0,ZA,1545694735,50,-30.97,22.13,67.75,7.27
Bluff,0,AU,1545694736,44,-23.58,149.07,82.11,14.54
Tayu,0,JP,1545692400,100,35.06,136.67,41,12.75
Richards Bay,64,ZA,1545694231,93,-28.77,32.06,72.66,9.28
New Norfolk,40,AU,1545692400,45,-42.78,147.06,64.4,12.75
Bathsheba,40,BB,1545692400,69,13.22,-59.52,78.8,16.11
Tromso,56,NO,1545693600,92,69.65,18.96,25.3,23.04
Hualmay,48,PE,1545694738,90,-11.1,-77.61,67.71,5.03
Georgetown,40,GY,1545692400,74,6.8,-58.16,78.67,13.87
Lerwick,32,GB,1545693600,76,60.15,-1.15,47.3,23.04
Heishan,0,CN,1545694740,45,41.69,122.12,17.22,5.48
Hambantota,8,LK,1545694741,100,6.12,81.12,77.07,5.93
Nishihara,75,JP,1545692400,76,35.74,139.53,36.28,4.36
Cape Town,0,ZA,1545692400,82,-33.93,18.42,66.2,5.82
Poopo,68,BO,1545694742,94,-18.38,-66.97,54.48,11.63
Mackay,75,CA,1545692400,85,53.65,-115.58,16.72,3.36
Palafrugell,0,ES,1545692400,100,41.92,3.16,42.8,5.93
Banda Aceh,20,ID,1545694745,100,5.56,95.32,72.88,1.79
Aklavik,75,CA,1545692400,74,68.22,-135.01,-24.09,9.17
Japura,20,ID,1545694746,96,-0.42,102.29,70.72,1.68
Faya,0,SA,1545692400,62,18.39,42.45,51.8,3.8
Omsukchan,32,RU,1545694746,63,62.53,155.8,-35.93,2.57
Acapulco,75,MX,1545691320,66,16.86,-99.88,84.2,3.36
Roald,92,NO,1545693600,87,62.58,6.12,44.6,23.04
Gimli,36,CA,1545694655,79,50.63,-96.99,1.6,3.58
Sao Filipe,64,CV,1545694251,100,14.9,-24.5,74.1,10.96
Butaritari,92,KI,1545694751,100,3.07,172.79,76.03,4.59
Airai,24,TL,1545694751,87,-8.93,125.41,76.3,2.13
Turukhansk,20,RU,1545694753,38,65.8,87.96,-24.91,11.74
Outjo,0,NA,1545694753,57,-20.11,16.16,68.47,5.7
Lavrentiya,56,RU,1545694754,100,65.58,-170.99,12.27,8.16
Hobart,40,AU,1545692400,45,-42.88,147.33,64.4,12.75
Severo-Kurilsk,56,RU,1545694162,100,50.68,156.12,26.58,12.97
Beloha,0,MG,1545694755,91,-25.17,45.06,65.28,4.81
Saint-Philippe,90,CA,1545693300,85,45.36,-73.48,19.65,3.36
Provideniya,90,RU,1545692400,85,64.42,-173.23,10.4,4.59
Chamrajnagar,32,IN,1545694756,96,11.92,76.95,64.2,2.91
Thaton,0,MM,1545694757,100,16.91,97.37,76.03,5.37
Palmer,0,AU,1545692400,50,-34.85,139.16,75.2,10.29
Ilulissat,88,GL,1545691800,60,69.22,-51.1,10.4,5.82
Darhan,32,MN,1545694761,33,49.49,105.92,-24.37,3.69
Quatre Cocos,20,MU,1545692400,88,-20.21,57.76,77,3.36
Kavarna,75,BG,1545692400,74,43.43,28.33,37.4,21.92
Yarada,40,IN,1545692400,93,17.65,83.27,64.4,2.24
Cururupu,56,BR,1545694281,86,-1.82,-44.87,78.28,6.49
Barcelona,20,ES,1545692400,71,41.38,2.18,48.16,13.87
Ixtapa,75,MX,1545691620,69,20.71,-105.21,78.8,6.93
Barrow,8,AR,1545694763,24,-38.31,-60.23,88.23,15.66
Pionerskiy,64,RU,1545694764,61,61.2,62.86,-12.85,7.38
Hobyo,0,SO,1545694765,78,5.35,48.53,77.34,22.59
Narrabri,0,AU,1545692400,41,-30.33,149.78,78.8,12.75
Kathmandu,20,NP,1545691800,93,27.71,85.32,39.2,4.7
Guerrero Negro,0,MX,1545694767,69,27.97,-114.04,66.9,10.96
Vanavara,20,RU,1545694769,81,60.35,102.28,-39.04,2.68
Moose Factory,1,CA,1545692400,83,51.26,-80.61,-7.61,4.7
Luderitz,0,NA,1545694771,81,-26.65,15.16,58.8,13.2
Yellowknife,75,CA,1545692940,76,62.45,-114.38,-11.21,5.82
Saint George,40,GR,1545691800,71,39.45,22.34,53.73,5.82
Aberdeen,1,US,1545691980,68,45.47,-98.49,24.98,6.93
Moron,0,VE,1545694774,79,10.49,-68.2,70.18,3.69
Qeshm,0,IR,1545692400,72,26.96,56.27,57.29,4.7
Luanda,75,AO,1545692400,88,-8.83,13.24,78.8,6.93
Karratha,0,AU,1545694560,28,-20.74,116.85,92.55,7.38
Havre-Saint-Pierre,40,CA,1545692400,65,50.23,-63.6,6.8,6.93
Kasongo,80,CD,1545694776,75,-4.43,26.67,74.64,2.46
Chokurdakh,56,RU,1545694777,44,70.62,147.9,-27.65,6.15
Trairi,24,BR,1545694779,100,-3.28,-39.27,80.53,17
Qaanaaq,0,GL,1545694780,91,77.48,-69.36,-21.4,10.74
Tasiilaq,92,GL,1545691800,86,65.61,-37.64,33.8,6.93
Tshikapa,56,CD,1545694785,99,-6.42,20.79,70,2.01
San Francisco,90,US,1545693240,93,37.78,-122.42,57.99,13.87
Petauke,100,ZM,1545694787,97,-14.25,31.33,65.82,3.58
Carapegua,75,PY,1545692400,69,-25.8,-57.23,82.4,3.36
Cabo San Lucas,75,MX,1545691380,53,22.89,-109.91,75.2,2.8
Kaitangata,0,NZ,1545694790,88,-46.28,169.85,69.37,4.92
Arraial do Cabo,92,BR,1545694791,100,-22.97,-42.02,73.56,2.68
Chernyshevskiy,0,RU,1545694791,82,63.01,112.47,-39.31,6.26
Bambous Virieux,20,MU,1545692400,88,-20.34,57.76,77,3.36
Charters Towers,64,AU,1545694710,74,-20.07,146.27,77.02,11.07
Bom Jesus,76,BR,1545694794,75,-9.08,-44.36,77.61,5.14
Dingle,56,PH,1545694796,89,11,122.67,77.47,3.69
Paramonga,80,PE,1545694796,100,-10.68,-77.82,69.1,8.72
Chicama,90,PE,1545692400,88,-7.84,-79.15,69.8,6.93
Pacific Grove,90,US,1545693300,90,36.62,-121.92,55.76,9.17
Vila Franca do Campo,40,PT,1545692400,82,37.72,-25.43,57.2,9.17
Maxixe,0,MZ,1545694798,98,-23.86,35.35,75.18,8.95
Mar del Plata,68,AR,1545694762,33,-46.43,-67.52,77.52,20.47
Dillon,1,US,1545691980,60,45.22,-112.64,33.08,8.05
Koumac,68,NC,1545694800,91,-20.56,164.28,81.21,7.94
Laguna,5,MX,1545691260,30,27.52,-110.01,82.4,6.93
Flinders,0,AU,1545692400,44,-34.58,150.85,80.6,8.05
Muzhi,56,RU,1545694801,76,65.4,64.7,-11.41,16.78
Iqaluit,75,CA,1545692400,69,63.75,-68.52,-11.21,27.51
Manacapuru,40,BR,1545692400,88,-3.3,-60.62,77,3.36
Thinadhoo,0,MV,1545694802,100,0.53,72.93,81.07,2.57
Clyde River,44,CA,1545694803,76,70.47,-68.59,-17.57,4.59
Bandarbeyla,8,SO,1545694804,97,9.49,50.81,78.87,23.71
Esplanada,36,BR,1545694805,76,-15.81,-43.31,75,2.91
Kununurra,0,AU,1545692400,89,-15.77,128.74,84.2,1.12
Gat,8,SN,1545692400,56,14.69,-16.54,71.6,17.22
Norman Wells,90,CA,1545692400,77,65.28,-126.83,-2.21,8.05
Fort Nelson,75,CA,1545692400,84,58.81,-122.69,-2.21,4.7
Elko,90,US,1545692160,85,40.83,-115.76,35.96,3.36
Paciran,64,ID,1545694807,91,-6.9,112.33,77.02,4.36
Suez,0,EG,1545694807,77,29.97,32.54,39.4,2.68
Ermelo,90,NL,1545693900,93,52.3,5.62,42.06,5.82
Ucluelet,90,CA,1545692400,100,48.94,-125.55,42.8,4.7
Maniitsoq,80,GL,1545694808,95,65.42,-52.9,33.6,4.36
Pisco,0,PE,1545692400,30,-13.71,-76.2,71.6,5.82
Visnes,92,NO,1545693600,87,59.36,5.22,44.6,14.99
Kumba,12,CM,1545694810,95,4.64,9.44,67.44,2.91
Naze,8,NG,1545692400,78,5.43,7.07,71.6,6.49
Mala,24,PE,1545694814,97,-12.66,-76.63,68.2,5.59
Kungurtug,0,RU,1545694814,44,50.6,97.53,-32.11,3.8
Marsaxlokk,0,MT,1545693300,77,35.84,14.54,59,9.17
San Patricio,20,PY,1545694816,69,-26.98,-56.83,78.82,3.91
Punta de Piedra,0,VE,1545694817,84,7.62,-71.49,68.65,2.68
Kenai,90,US,1545693780,91,60.55,-151.26,10.67,8.05
Bafq,0,IR,1545694819,48,31.6,55.4,22.62,1.57
Aswan,24,EG,1545694622,91,24.09,32.9,49.89,4.81
Mandiana,0,GN,1545694820,56,10.62,-8.7,60.6,3.47
Raton,1,US,1545692040,20,36.9,-104.44,49.95,18.34
Louis Trichardt,8,ZA,1545694822,83,-23.04,29.91,69.78,2.46
Egvekinot,68,RU,1545694823,79,66.32,-179.17,-18.92,2.35
Bama,92,CN,1545694823,99,24.14,107.25,57.9,4.7
Marsh Harbour,12,BS,1545694724,100,26.54,-77.06,71.35,13.42
Broken Hill,0,AU,1545692400,29,-31.97,141.45,91.4,12.75
Matara,88,PE,1545694667,96,-13.74,-72.9,45.03,2.13
Pangnirtung,20,CA,1545694826,66,66.15,-65.72,-15.1,3.91
Vila Velha,40,BR,1545692400,83,-3.71,-38.6,78.8,4.7
Okulovka,48,RU,1545694828,76,58.37,33.3,9.52,3.02
Buraydah,0,SA,1545692400,82,26.33,43.97,55.4,3.36
Padang,48,ID,1545694250,100,-0.92,100.36,79,6.71
Marystown,88,CA,1545694829,100,47.17,-55.16,30.36,13.2
Ribeira Grande,8,PT,1545694829,100,38.52,-28.7,57.72,7.61
San Quintin,12,PH,1545694830,73,17.54,120.52,75.13,4.92
Bantou,80,CN,1545694831,100,26.22,117.49,51.37,2.35
Kavieng,36,PG,1545694833,100,-2.57,150.8,83.64,6.71
Vila,0,IT,1545693600,41,45.18,8.4,40.08,5.82
Soligalich,88,RU,1545694835,89,59.08,42.29,15.69,8.72
Yumen,56,CN,1545694836,73,40.29,97.04,2.23,1.68
Cap-aux-Meules,90,CA,1545692400,67,47.38,-61.86,21.2,10.29
Grindavik,90,IS,1545692400,86,63.84,-22.43,39.2,9.17
Sechura,0,PE,1545694838,72,-5.56,-80.82,75.09,12.41
Hami,0,CN,1545694838,47,42.84,93.51,-9.02,2.91
Lebu,0,ET,1545694839,81,8.96,38.73,34.9,2.68
Tura,0,IN,1545694840,85,25.52,90.21,50.97,2.01
Praia da Vitoria,20,PT,1545692400,71,38.73,-27.07,55.4,15.32
Dzaoudzi,75,YT,1545692400,100,-12.79,45.27,77,2.24
Port Elizabeth,1,US,1545692160,61,39.31,-74.98,39.83,4.7
Grand-Santi,64,GF,1545694845,96,4.27,-54.38,72.66,2.68
Bourail,92,NC,1545694846,90,-21.57,165.5,79.18,6.71
Hithadhoo,0,MV,1545694846,100,-0.6,73.08,80.76,3.69
Kamenka,88,RU,1545694847,96,53.19,44.05,27.88,10.4
Port Hawkesbury,90,CA,1545693360,73,45.62,-61.36,21.2,10.29
Boueni,75,YT,1545692400,100,-12.9,45.08,77,2.24
Port-Cartier,20,CA,1545692400,54,50.03,-66.88,5,9.17
Constitucion,90,MX,1545691200,10,23.99,-104.67,69.8,2.24
Weligama,20,LK,1545694852,100,5.97,80.42,74.91,1.9
Jiuquan,36,CN,1545694853,33,39.73,98.49,-13.88,2.01
Klaksvik,0,FO,1545693600,81,62.23,-6.59,44.6,16.11
Bethel,90,US,1545692160,87,60.79,-161.76,5.76,13.87
Nikolskoye,90,RU,1545692400,100,59.7,30.79,24.8,2.24
Miami,40,US,1545691980,63,25.77,-80.19,69.85,9.17
Mamou,0,GN,1545694857,63,10.37,-12.08,57.81,3.24
Pointe Michel,75,DM,1545692400,73,15.25,-61.38,77,9.17
Dibulla,0,CO,1545692400,51,11.27,-73.31,84.2,11.41
Launceston,20,AU,1545692400,52,-41.43,147.14,68,3.36
Lensk,48,RU,1545694859,55,60.71,114.91,-32.15,7.27
Whitefish,90,US,1545692100,81,48.41,-114.33,33.08,2.13
Kupang,75,ID,1545692400,100,-10.16,123.6,80.6,3.36
Honiara,80,SB,1545694861,86,-9.43,159.96,82.47,2.35
Margate,40,AU,1545692400,45,-43.03,147.26,64.4,12.75
Ponta do Sol,64,BR,1545694862,93,-20.63,-46,68.47,4.81
Bubaque,0,GW,1545694850,100,11.28,-15.83,79.63,8.05
Longyearbyen,0,NO,1545691800,67,78.22,15.63,17.6,8.05
Kakhi,40,AZ,1545692400,80,41.42,46.93,35.6,6.93
Miyoshi,75,JP,1545692400,74,34.81,132.85,35.46,8.05
Maragheh,0,IR,1545694650,71,37.39,46.24,17.31,2.91
Samarai,12,PG,1545694865,100,-10.62,150.67,84.63,11.18
Kambia,0,SL,1545694866,87,9.13,-12.92,77.25,7.05
Oudtshoorn,0,ZA,1545692400,93,-33.59,22.2,64.4,2.24
Sao Joao da Barra,88,BR,1545694867,100,-21.64,-41.05,78.87,12.19
Dwarka,0,IN,1545692400,100,28.58,77.04,46.4,3.36
Dayong,92,PH,1545694868,100,11.74,122.04,79.68,12.19
Thunder Bay,90,CA,1545692400,79,48.41,-89.26,21.2,4.7
Mabaruma,92,GY,1545694868,80,8.2,-59.78,78.69,8.61
Codrington,75,AU,1545692400,64,-28.95,153.24,75.83,1.12
Esperance,20,TT,1545692400,83,10.24,-61.45,77,5.82
Linxia,8,CN,1545694871,67,35.6,103.21,-3.98,2.35
Salalah,0,OM,1545691800,28,17.01,54.1,69.8,9.17
Katsuura,75,JP,1545692400,93,33.93,134.5,38.23,10.29
Te Anau,0,NZ,1545694873,44,-45.41,167.72,72.75,5.37
Altamira,68,BR,1545694873,81,-3.2,-52.21,78.96,3.91
Meulaboh,20,ID,1545694874,100,4.14,96.13,76.71,2.24
Lagoa,0,PT,1545692400,81,37.14,-8.45,51.8,3.36
Fort Walton Beach,1,US,1545693300,80,30.41,-86.62,54.75,5.59
Alice Springs,0,AU,1545692400,10,-23.7,133.88,87.8,9.17
Alofi,75,NU,1545692400,74,-19.06,-169.92,84.2,17.22
Ahome,75,MX,1545691500,56,25.92,-109.18,73.4,8.05
Waterloo,90,CA,1545692400,86,43.47,-80.52,30.2,11.41
Beira,48,ES,1545692400,100,43.2,-8.36,43.65,5.82
Inongo,88,CD,1545694887,87,-1.93,18.29,75.81,2.35
Quelimane,24,MZ,1545694888,88,-17.88,36.89,73.15,3.47
Shimoda,40,JP,1545693300,75,34.7,138.93,45.12,2.24
Okha,88,RU,1545694890,87,53.59,142.95,8.22,13.31
Petropavlovsk-Kamchatskiy,90,RU,1545692400,74,53.05,158.65,33.8,11.18
Lompoc,90,US,1545693180,93,34.64,-120.46,63.01,16.11
Znamenskoye,0,RU,1545694892,0,57.13,73.82,-35.89,3.02
Mtambile,0,TZ,1545694893,95,-5.38,39.7,82.74,14.32
Brownsville,75,US,1545692100,64,25.91,-97.49,73.69,13.87
Magnolia,1,US,1545693300,43,33.27,-93.24,52.66,4.7
Catuday,48,PH,1545694896,97,16.29,119.81,79.86,6.15
Zaymishche,76,RU,1545694896,90,52.73,32.23,23.2,7.94
Yar-Sale,24,RU,1545694897,77,66.83,70.83,-11.41,20.58
Dhule,0,IN,1545694898,83,20.9,74.77,58.8,2.8
Nayoro,80,JP,1545694899,66,44.36,142.46,25,8.95
Duvan,0,RU,1545694900,58,55.69,57.9,-12.4,2.68
Porto Torres,75,IT,1545693600,87,40.84,8.4,59,4.7
Houma,76,CN,1545694901,92,35.63,111.36,23.07,2.46
Mackenzie,90,CA,1545692400,86,55.34,-123.09,28.4,12.75
Birao,0,CF,1545694904,46,10.3,22.78,62.94,9.62
Byron Bay,40,AU,1545692400,57,-28.65,153.62,75.65,4.7
Araouane,0,ML,1545694905,38,18.9,-3.53,52.14,6.93
Gudari,0,IN,1545694906,88,19.34,83.79,48.67,2.01
Huescar,24,ES,1545694908,71,37.81,-2.54,27.88,2.24
Simplicio Mendes,64,BR,1545694909,61,-7.85,-41.91,79.27,5.48
Puerto Escondido,75,MX,1545691320,69,15.86,-97.07,82.4,6.38
Uray,24,RU,1545694911,82,60.13,64.8,-18.34,9.17
Rio Gallegos,75,AR,1545692400,44,-51.62,-69.22,57.2,11.41
Khatanga,88,RU,1545694913,75,71.98,102.47,0.3,22.48
Swan River,44,CA,1545694914,83,52.11,-101.27,2.55,3.8
Shelburne,90,CA,1545692400,86,44.08,-80.2,32.18,9.17
Tiksi,48,RU,1545694915,33,71.64,128.87,-22.75,19.35
Tuatapere,0,NZ,1545694321,67,-46.13,167.69,66.85,7.83
Ahipara,20,NZ,1545694916,100,-35.17,173.16,64.38,9.95
Zhigansk,0,RU,1545694919,0,66.77,123.37,-38,2.91
Northam,20,GB,1545691800,100,51.04,-4.21,44.6,9.17
Barranca,80,PE,1545694921,100,-10.75,-77.76,69.1,8.72
Adeje,0,NG,1545694921,80,5.68,5.76,76.12,9.4
Husavik,36,CA,1545694922,79,50.56,-96.99,1.6,3.58
Calabozo,56,VE,1545694922,43,8.92,-67.43,86.97,12.75
Nanortalik,92,GL,1545694790,90,60.14,-45.24,34.95,20.02
Yuzhno-Sukhokumsk,0,RU,1545694923,77,44.66,45.65,24.42,2.91
Puerto Ayacucho,0,CO,1545692400,49,5.66,-67.63,89.6,3.36
Riyadh,0,SA,1545692400,54,24.63,46.72,53.6,3.36
Rostovka,0,RU,1545692400,60,55.02,73.58,-25.61,8.95
Great Yarmouth,0,GB,1545693600,100,52.61,1.73,28.4,4.7
Namatanai,8,PG,1545694927,100,-3.66,152.44,82.29,4.14
Cherskiy,68,RU,1545694927,50,68.75,161.3,-29.86,2.57
Dakar,8,SN,1545692400,56,14.69,-17.45,71.6,17.22
Yagodnoye,24,RU,1545694927,44,62.52,149.63,-29.72,2.57
Bakchar,0,RU,1545694928,63,57.02,82.07,-33.91,2.57
Turriff,0,GB,1545693600,92,57.54,-2.46,26.73,3.36
Anloga,20,GH,1545692400,69,5.79,0.9,80.6,4.7
Dandong,0,CN,1545694929,65,40.12,124.37,11.23,3.91
Upernavik,20,GL,1545694930,100,72.79,-56.15,0.84,11.63
Roswell,1,US,1545693300,29,33.39,-104.52,61.84,5.82
Tilichiki,88,RU,1545694931,89,60.47,166.1,28.2,7.27
Saurimo,64,AO,1545694931,96,-9.66,20.4,61,2.35
Carquefou,90,FR,1545692400,93,47.3,-1.49,49.95,2.24
Inhambane,0,MZ,1545694690,98,-23.87,35.38,75.18,8.95
Ha Tinh,92,VN,1545694933,100,18.33,105.9,72.57,6.26
San Ignacio,0,CL,1545692400,30,-36.8,-72.03,86,13.87
Saint Albans,90,US,1545693900,91,44.81,-73.08,22.3,4.7
Innisfail,40,CA,1545692400,85,52.02,-113.95,14,6.93
Hirara,75,JP,1545692400,88,24.8,125.28,69.8,14.99
Berdigestyakh,12,RU,1545694938,34,62.1,126.7,-22.97,6.93
Madison,40,US,1545694500,65,43.07,-89.38,25.16,1.79
Hofn,8,IS,1545694939,98,64.25,-15.21,41.16,18.9
Kihei,40,US,1545692160,76,20.76,-156.45,75.6,11.41
Bhachau,0,IN,1545694940,54,23.3,70.35,46.38,8.95
Ukiah,90,US,1545692160,80,39.15,-123.21,51.98,4.7
Khasan,24,RU,1545694940,100,42.43,130.64,17.22,3.36
Uruzgan,0,AF,1545694941,53,32.93,66.63,-2.32,1.9
Liwale,92,TZ,1545694941,100,-9.8,37.92,68.2,2.91
Uyuni,20,BO,1545694942,38,-20.46,-66.82,52.86,3.36
San Jose,48,PH,1545694944,89,15.79,120.99,74.32,2.68
Saint-Georges,68,CA,1545694945,68,46.12,-70.67,15.06,4.7
Port Macquarie,0,AU,1545692400,60,-31.43,152.91,75.2,8.05
Sharanga,88,RU,1545694946,88,57.18,46.54,24.1,14.65
Quesnel,20,CA,1545692400,74,52.98,-122.49,35.6,4.7
Yinchuan,20,CN,1545694951,69,38.48,106.21,-1.06,1.57
Swakopmund,0,NA,1545692400,77,-22.68,14.53,62.6,6.93
Yarim,0,YE,1545694952,68,14.3,44.38,25.05,2.68
Fiche,0,ET,1545694953,85,9.77,38.74,38.01,2.68
Yebaishou,0,CN,1545694953,43,41.4,119.64,7.5,5.03
Kedrovyy,0,RU,1545692400,75,56.17,91.82,-16.61,3.24
Axim,24,GH,1545694959,98,4.87,-2.24,83.37,10.74
Sawakin,24,SD,1545694960,88,19.1,37.33,75.09,7.72
Bud,92,NO,1545693600,87,62.91,6.91,43.72,34.45
San Cristobal,75,EC,1545692400,63,-0.39,-78.55,64.4,10.29
Slave Lake,90,CA,1545692400,92,55.28,-114.77,10.4,10.29
Sao Felix do Xingu,68,BR,1545694774,91,-6.64,-51.99,76.8,2.24
Kirando,92,TZ,1545694963,100,-7.37,30.62,68.34,4.92
Dubrovnik,0,HR,1545692400,45,42.65,18.09,46.4,27.51
Hare Bay,75,CA,1545692400,62,48.86,-53.99,19.4,12.75
Komsomolskiy,80,RU,1545694849,88,67.55,63.78,2.1,13.98
Sheridan,75,US,1545692280,32,39.65,-105.03,44.92,8.05
Antonina,75,BR,1545692400,93,-25.43,-48.71,65.32,10.29
Enkoping,44,SE,1545693600,86,59.64,17.08,25.7,8.05
Gigmoto,64,PH,1545694969,100,13.78,124.39,77.97,3.91
Karaidel,0,RU,1545694970,60,55.83,56.91,-7.13,2.57
Jizan,0,SA,1545692400,73,16.89,42.56,77,7.16
Indiaroba,44,BR,1545694971,80,-11.53,-37.51,76.75,10.85
College,20,US,1545692160,72,64.86,-147.8,-21.64,4.81
Kasaoka,75,JP,1545692400,77,34.5,133.52,35.65,1.12
Amberley,68,NZ,1545694200,88,-43.15,172.73,62.6,13.87
Rio Grande,0,BR,1545694975,86,-32.03,-52.1,69.87,14.09
Ginir,0,ET,1545694975,67,7.14,40.71,47.64,2.13
Gidole,0,ET,1545694976,65,5.65,37.37,57.54,2.13
Buchanan,40,LR,1545692400,94,5.88,-10.05,75.2,8.39
Abu Dhabi,40,AE,1545692400,63,24.47,54.37,65.26,10.4
Pontes e Lacerda,76,BR,1545694978,92,-15.23,-59.33,74.91,2.24
Port Blair,44,IN,1545694979,100,11.67,92.75,79.41,6.49
Muncar,92,ID,1545694979,98,-8.43,114.34,78.78,3.36
Sao Marcos,12,BR,1545694844,82,-28.97,-51.07,66.63,9.28
Kribi,20,CM,1545694979,100,2.94,9.91,72.12,2.91
Lasa,40,CY,1545692400,66,34.92,32.53,50.77,8.05
Le Port,8,FR,1545694980,82,42.87,1.37,19.74,1.68
Kirakira,48,SB,1545694981,100,-10.46,161.92,81.88,6.15
Pimentel,64,BR,1545694981,82,-3.7,-45.5,78.73,4.7
Minna,0,NG,1545694982,42,9.62,6.55,67.75,10.18
Bay Roberts,90,CA,1545692400,68,47.58,-53.28,24.8,12.75
Hunchun,44,CN,1545694985,63,42.86,130.36,9.12,4.14
Haverfordwest,92,GB,1545691800,100,51.8,-4.97,46.4,10.29
Tessalit,0,ML,1545694986,39,20.2,1.01,48.72,6.38
Nabire,20,ID,1545694986,77,-3.36,135.5,78.82,1.23
Pervomaysk,92,RU,1545694987,91,54.87,43.81,26.85,11.63
Mahajanga,20,MG,1545692400,94,-15.72,46.32,77,4.7
Pingliang,48,CN,1545694987,66,35.54,106.68,16.05,3.58
Russell,12,AR,1545694988,43,-33.01,-68.8,73.74,2.35
Dharchula,0,IN,1545694991,65,29.85,80.53,16.86,1.68
